,IAA
% Above Low,0.1814
% Held by Institutions,1.0656
52-Wk Range,['31.32 - 52.20']
Annual Dividend $,
Annual Dividend %,
Ask,38.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,31.5
Bid Size,100.0
Closing Price,37.0
Day Change $,-0.71
Day Change %,-0.018799999999999997
Day High,37.77
Day Low,36.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.14
Ex-dividend Date,No dividend
Historical Volatility,0.452
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,4.9B
"P/E Ratio (TTM, GAAP)",17.29
Prev Close,37.71
Shares Outstanding,133.8M
Short Interest,0.026600000000000002
Today's Open,37.51
Volume,945838.0
Volume 10-day Avg,1987123.0
Volume Past Day,(Light)
