,IAA
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.06779661016949146
Growth 1yr High Est,-0.08097165991902844
Growth 1yr Consensus Est,-0.07438413504425995
Growth 2yr Low Est,-0.09753466872110944
Growth 2yr High Est,0.021188178851058392
Growth 2yr Consensus Est,-0.038173244935025524
Growth 5yr Low Est,0.09661605946884633
Growth 5yr High Est,0.14966441601338737
Growth 5yr Consensus Est,0.12314023774111686
Growth 5yr Actual/Est,0.12284853450489247
Growth 3yr Historic,0.12711744776962167
