,SNDR
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,1.1583333333333332
Growth 1yr High Est,1.1721311475409837
Growth 1yr Consensus Est,1.1652322404371585
Growth 2yr Low Est,0.4363095238095238
Growth 2yr High Est,0.56719764924219
Growth 2yr Consensus Est,0.5017535865258569
Growth 5yr Low Est,0.21009024577572966
Growth 5yr High Est,0.2682142092364796
Growth 5yr Consensus Est,0.2391522275061046
Growth 5yr Actual/Est,0.20951001382203205
Growth 3yr Historic,0.21001612903225808
