,SNDR
Price/Earnings (TTM),9.50202
Price/Sales (TTM),0.68918
Price/Book (MRQ),1.66574
Price/Cash Flow (TTM),5.59043
5yr Low,15.36
5yr High,30.52
5yr Avg Return,0.020799999999999996
EPS Growth 5yr,0.2028894
Revenue Growth 5yr,0.0675124
Dividend Growth 5yr,
Short Int Current Month,4175855.0
Short Int Prev Month,4309966.0
Short Int Pct of Float,0.07897789999999999
Days to Cover,6.79813
Float,52.87377
Shares Outstanding,178.0123
Institutions Holding Shares,339.0
% Held by Institutions,0.514265
FCF Growth 5yr,0.9323170731707319
