,VLD
% Above Low,0.5313
% Held by Institutions,0.6511
52-Wk Range,['1.28 - 11.42']
Annual Dividend $,
Annual Dividend %,
Ask,2.0
Ask Size,900.0
B/A Ratio,1.1111111111111112
B/A Size,1000x900
Beta,
Bid,1.95
Bid Size,1000.0
Closing Price,1.96
Day Change $,-0.12
Day Change %,-0.057699999999999994
Day High,2.12
Day Low,1.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.37
Ex-dividend Date,No dividend
Historical Volatility,1.16
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,365.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.08
Shares Outstanding,186.4M
Short Interest,0.0526
Today's Open,2.05
Volume,1782974.0
Volume 10-day Avg,1672969.0
Volume Past Day,(Average)
