,VLD
Price/Earnings (TTM),
Price/Sales (TTM),6.3165
Price/Book (MRQ),3.43527
Price/Cash Flow (TTM),
5yr Low,1.28
5yr High,13.18
5yr Avg Return,-0.5205
Short Int Current Month,8318873.0
Short Int Prev Month,8554427.0
Short Int Pct of Float,0.052552
Days to Cover,4.47758
Float,158.4248
Shares Outstanding,186.4188
Institutions Holding Shares,115.0
% Held by Institutions,0.651113
FCF Growth 5yr,0.3559229216764234
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
