,VLDR
Price/Earnings (TTM),
Price/Sales (TTM),5.40098
Price/Book (MRQ),1.1011
Price/Cash Flow (TTM),
5yr Low,0.712
5yr High,32.5
5yr Avg Return,-0.05530000000000001
Short Int Current Month,7223576.0
Short Int Prev Month,8867529.0
Short Int Pct of Float,0.0379895
Days to Cover,1.2028
Float,188.9499
Shares Outstanding,237.5904
Institutions Holding Shares,176.0
% Held by Institutions,0.26602
FCF Growth 5yr,0.20451641763419234
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
