,HAIN
Price/Earnings (TTM),29.24756
Price/Sales (TTM),0.98251
Price/Book (MRQ),1.7702
Price/Cash Flow (TTM),15.87702
5yr Low,14.45
5yr High,48.88
5yr Avg Return,0.021916666666666664
EPS Growth 5yr,0.0582068
Revenue Growth 5yr,-0.0419205
Dividend Growth 5yr,
Short Int Current Month,3612618.0
Short Int Prev Month,3562207.0
Short Int Pct of Float,0.0410013
Days to Cover,2.97854
Float,88.20349
Shares Outstanding,89.31364
Institutions Holding Shares,367.0
% Held by Institutions,0.9846980000000001
FCF Growth 5yr,-0.3530428077799108
