,HAIN
% Above Low,0.3552
% Held by Institutions,0.9847
52-Wk Range,['15.23 - 43.53']
Annual Dividend $,
Annual Dividend %,
Ask,20.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,19.7
Bid Size,100.0
Closing Price,20.64
Day Change $,0.27
Day Change %,0.013300000000000001
Day High,20.65
Day Low,20.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.71
Ex-dividend Date,No dividend
Historical Volatility,0.44200000000000006
Last (size),36.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.25
Prev Close,20.37
Shares Outstanding,89.3M
Short Interest,0.040999999999999995
Today's Open,20.5
Volume,392291.0
Volume 10-day Avg,806149.0
Volume Past Day,(Light)
