,HAIN
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.6666666666666667
Growth 1yr High Est,-0.45945945945945943
Growth 1yr Consensus Est,-0.5630630630630631
Growth 2yr Low Est,0.14539007092198586
Growth 2yr High Est,0.051520270270270285
Growth 2yr Consensus Est,0.09845517059612807
Growth 5yr Low Est,0.09692671394799057
Growth 5yr High Est,0.03434684684684686
Growth 5yr Consensus Est,0.06563678039741871
Growth 5yr Actual/Est,0.15888027624843049
Growth 3yr Historic,0.10740968801313633
