,SFIX
Price/Earnings (TTM),
Price/Sales (TTM),0.22238
Price/Book (MRQ),1.43879
Price/Cash Flow (TTM),
5yr Low,3.09
5yr High,113.76
5yr Avg Return,0.025233333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1623066
Dividend Growth 5yr,
Short Int Current Month,13797108.0
Short Int Prev Month,16348879.0
Short Int Pct of Float,0.1708071
Days to Cover,5.06488
Float,80.77695
Shares Outstanding,110.8081
Institutions Holding Shares,254.0
% Held by Institutions,0.875782
FCF Growth 5yr,-0.49801216712266316
