,QLYS
% Above Low,0.1489
% Held by Institutions,0.9553
52-Wk Range,['107.69 - 162.36']
Annual Dividend $,
Annual Dividend %,
Ask,123.97
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,123.85
Bid Size,100.0
Day Change $,-1.58
Day Change %,-0.0126
Day High,125.78
Day Low,123.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.56
Ex-dividend Date,No dividend
Historical Volatility,0.499
Last (size),100.0
Last (time),12:05p ET 11/28/22
Market Cap,4.7B
"P/E Ratio (TTM, GAAP)",49.03
Prev Close,125.31
Price,123.73
Shares Outstanding,38.0M
Short Interest,0.0647
Today's Open,124.37
Volume Past Day,(Light)
