,QLYS
Price/Earnings (TTM),49.03177
Price/Sales (TTM),10.15734
Price/Book (MRQ),13.45019
Price/Cash Flow (TTM),34.89788
5yr Low,55.05
5yr High,162.36
5yr Avg Return,0.13998333333333332
EPS Growth 5yr,0.286951
Revenue Growth 5yr,0.15745620000000002
Dividend Growth 5yr,
Short Int Current Month,2216590.0
Short Int Prev Month,2506507.0
Short Int Pct of Float,0.064745
Days to Cover,3.90224
Float,34.25653
Shares Outstanding,37.98803
Institutions Holding Shares,529.0
% Held by Institutions,0.955284
FCF Growth 5yr,0.07731515957866308
