,FUL
% Below High,0.0248
% Held by Institutions,0.9898
52-Wk Range,['57.36 - 81.73']
Annual Dividend $,0.76
Annual Dividend %,0.0095
Ask,80.22
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Closing Price,79.7
Day Change $,0.31
Day Change %,0.0039000000000000003
Day High,79.83
Day Low,78.99
Dividend Pay Date,2022-11-03 00:00:00
"EPS (TTM, GAAP)",3.32
Ex-dividend,2022-10-19 00:00:00
Ex-dividend Date,10/19/22
Historical Volatility,0.313
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.02
Prev Close,79.39
Shares Outstanding,53.3M
Short Interest,0.0223
Today's Open,79.24
Volume,108909.0
Volume 10-day Avg,298794.0
Volume Past Day,(Light)
