,FUL
Price/Earnings (TTM),24.02469
Price/Sales (TTM),1.152
Price/Book (MRQ),2.69181
Price/Cash Flow (TTM),13.1914
5yr Low,23.68
5yr High,81.73
5yr Avg Return,0.08103333333333333
EPS Growth 5yr,0.046005399999999995
Revenue Growth 5yr,0.09371
Dividend Growth 5yr,0.038704
Short Int Current Month,1179617.0
Short Int Prev Month,1380167.0
Short Int Pct of Float,0.0222581
Days to Cover,3.33487
Float,53.0295
Shares Outstanding,53.31294
Institutions Holding Shares,338.0
% Held by Institutions,0.989806
FCF Growth 5yr,-0.5859733759356552
