,CSV
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.18092105263157887
Growth 1yr High Est,-0.16666666666666674
Growth 1yr Consensus Est,-0.1737938596491228
Growth 2yr Low Est,-0.11656494398647221
Growth 2yr High Est,-0.03431372549019607
Growth 2yr Consensus Est,-0.07543933473833414
Growth 5yr Low Est,0.17133218293622163
Growth 5yr High Est,0.20423041011276308
Growth 5yr Consensus Est,0.18778129652449235
Growth 5yr Actual/Est,0.2444597579543104
Growth 3yr Historic,0.2779139784946236
