,CSV
% Above Low,0.0661
% Held by Institutions,0.7362000000000001
52-Wk Range,['22.71 - 66.33']
Annual Dividend $,0.45
Annual Dividend %,0.018600000000000002
Ask,25.3
Ask Size,900.0
B/A Ratio,0.6666666666666666
B/A Size,600x900
Beta,0.8
Bid,22.12
Bid Size,600.0
Closing Price,24.21
Day Change $,0.07
Day Change %,0.0029
Day High,24.64
Day Low,23.91
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.81
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.524
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,356.2M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.61
Prev Close,24.14
Shares Outstanding,14.7M
Short Interest,0.023399999999999997
Today's Open,24.02
Volume,51102.0
Volume 10-day Avg,75163.0
Volume Past Day,(Light)
