,CSV
Price/Earnings (TTM),8.60638
Price/Sales (TTM),0.95716
Price/Book (MRQ),2.76303
Price/Cash Flow (TTM),5.38518
5yr Low,13.54
5yr High,66.33
5yr Avg Return,0.1570333333333333
EPS Growth 5yr,0.10176840000000001
Revenue Growth 5yr,0.0865529
Dividend Growth 5yr,0.2242399
Short Int Current Month,295285.0
Short Int Prev Month,371830.0
Short Int Pct of Float,0.0233585
Days to Cover,1.99792
Float,13.06493
Shares Outstanding,14.71481
Institutions Holding Shares,185.0
% Held by Institutions,0.736185
FCF Growth 5yr,0.2671132726359993
