,ZG
% Above Low,0.3272
% Held by Institutions,0.8398
52-Wk Range,['26.21 - 65.16']
Annual Dividend $,
Annual Dividend %,
Ask,35.07
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,33.7
Bid Size,100.0
Closing Price,34.79
Day Change $,-0.03
Day Change %,-0.0009
Day High,35.83
Day Low,34.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.1
Ex-dividend Date,No dividend
Historical Volatility,0.665
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,8.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,34.82
Shares Outstanding,237.7M
Short Interest,0.0562
Today's Open,34.53
Volume,532104.0
Volume 10-day Avg,646622.0
Volume Past Day,(Below Average)
