,ZG
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6307692307692307
Growth 2yr High Est,0.28749999999999987
Growth 2yr Consensus Est,-0.17163461538461544
Growth 5yr Low Est,-0.6307692307692307
Growth 5yr High Est,0.28749999999999987
Growth 5yr Consensus Est,-0.17163461538461544
Growth 5yr Actual/Est,-2.0587865008457715
Growth 3yr Historic,-0.9707491582491583
