,PGEN
Price/Earnings (TTM),
Price/Sales (TTM),8.09545
Price/Book (MRQ),2.80392
Price/Cash Flow (TTM),
5yr Low,1.12
5yr High,20.16
5yr Avg Return,-0.16721666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.1146245
Dividend Growth 5yr,
Short Int Current Month,7491475.0
Short Int Prev Month,7879259.0
Short Int Pct of Float,0.0408514
Days to Cover,9.4502
Float,183.369
Shares Outstanding,208.15
Institutions Holding Shares,212.0
% Held by Institutions,0.605008
FCF Growth 5yr,0.208428229375153
