,PGEN
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-1.1886792452830188
Growth 1yr High Est,-1.441860465116279
Growth 1yr Consensus Est,-1.315269855199649
Growth 2yr Low Est,-3.6943396226415093
Growth 2yr High Est,-1.9314565483476132
Growth 2yr Consensus Est,-2.8128980854945613
Growth 5yr Low Est,-3.6943396226415093
Growth 5yr High Est,-1.9314565483476132
Growth 5yr Consensus Est,-2.8128980854945613
Growth 5yr Actual/Est,-1.6100656574686611
Growth 3yr Historic,-0.24988328664799253
