,PGEN
% Above Low,0.6696
% Held by Institutions,0.605
52-Wk Range,['1.12 - 4.20']
Annual Dividend $,
Annual Dividend %,
Ask,1.87
Ask Size,1100.0
B/A Ratio,1.1818181818181819
B/A Size,1300x1100
Beta,1.9
Bid,1.86
Bid Size,1300.0
Day Change $,-0.05
Day Change %,-0.026000000000000002
Day High,1.94
Day Low,1.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.41
Ex-dividend Date,No dividend
Historical Volatility,0.881
Last (size),1.0
Last (time),10:42a ET 11/28/22
Market Cap,389.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.92
Price,1.87
Shares Outstanding,208.2M
Short Interest,0.0409
Today's Open,1.88
Volume Past Day,(Light)
