,PYPL
Price/Earnings (TTM),40.72334
Price/Sales (TTM),3.37461
Price/Book (MRQ),4.53276
Price/Cash Flow (TTM),25.24707
5yr Low,67.58
5yr High,310.16
5yr Avg Return,0.12418333333333331
EPS Growth 5yr,0.2503485
Revenue Growth 5yr,0.1853474
Dividend Growth 5yr,
Short Int Current Month,23395909.0
Short Int Prev Month,20529009.0
Short Int Pct of Float,0.0205743
Days to Cover,1.23256
Float,1137.286
Shares Outstanding,1140.028
Institutions Holding Shares,2937.0
% Held by Institutions,0.732415
FCF Growth 5yr,0.39196445801082497
