,PYPL
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,44.0
Growth 1yr Low Est,-0.12
Growth 1yr High Est,-0.1582150101419877
Growth 1yr Consensus Est,-0.13910750507099384
Growth 2yr Low Est,0.0056565656565657485
Growth 2yr High Est,0.023302133483222964
Growth 2yr Consensus Est,0.014479349569894356
Growth 5yr Low Est,0.1207863134981779
Growth 5yr High Est,0.14224327918866259
Growth 5yr Consensus Est,0.13151479634342023
Growth 5yr Actual/Est,0.12270077548522043
Growth 3yr Historic,0.10929497838377117
