,BTU
% Below High,0.0928
% Held by Institutions,0.8573999999999999
52-Wk Range,['8.58 - 33.29']
Annual Dividend $,
Annual Dividend %,
Ask,30.19
Ask Size,3000.0
B/A Ratio,0.3333333333333333
B/A Size,1000x3000
Beta,1.0
Bid,29.01
Bid Size,1000.0
Closing Price,30.2
Day Change $,0.42
Day Change %,0.0141
Day High,31.0
Day Low,29.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.8
Ex-dividend Date,No dividend
Historical Volatility,0.8890000000000001
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,4.3B
"P/E Ratio (TTM, GAAP)",3.87
Prev Close,29.78
Shares Outstanding,143.9M
Short Interest,0.126
Today's Open,29.5
Volume,2100787.0
Volume 10-day Avg,4206991.0
Volume Past Day,(Light)
