,BTU
Price/Earnings (TTM),3.8706
Price/Sales (TTM),0.94056
Price/Book (MRQ),1.66428
Price/Cash Flow (TTM),2.90416
5yr Low,0.8
5yr High,47.84
5yr Avg Return,0.5903833333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0678597
Dividend Growth 5yr,
Short Int Current Month,17938667.0
Short Int Prev Month,17914661.0
Short Int Pct of Float,0.12597
Days to Cover,2.46335
Float,142.4236
Shares Outstanding,143.9
Institutions Holding Shares,298.0
% Held by Institutions,0.857376
FCF Growth 5yr,-3.8313192439608166
