,BTU
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-1.3043246129204484
Growth 1yr High Est,-1.3687396807925152
Growth 1yr Consensus Est,-1.3365321468564817
Growth 2yr Low Est,-0.806548271372505
Growth 2yr High Est,-0.7015340195007352
Growth 2yr Consensus Est,-0.75404114543662
Growth 5yr Low Est,-0.53769884758167
Growth 5yr High Est,-0.4676893463338235
Growth 5yr Consensus Est,-0.5026940969577467
Growth 5yr Actual/Est,-11.210701087364129
Growth 3yr Historic,-11.417058516196446
