,WU
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.03846153846153855
Growth 1yr High Est,-0.02127659574468077
Growth 1yr Consensus Est,-0.02986906710310966
Growth 2yr Low Est,-0.07637362637362638
Growth 2yr High Est,-0.07042090656799255
Growth 2yr Consensus Est,-0.07339726647080946
Growth 5yr Low Est,-0.025181032839992373
Growth 5yr High Est,-0.024099342172885202
Growth 5yr Consensus Est,-0.024640187506438788
Growth 5yr Actual/Est,-0.010675252075938196
Growth 3yr Historic,0.06301196253593394
