,WU
% Above Low,0.1627
% Held by Institutions,1.0081
52-Wk Range,['12.27 - 20.40']
Annual Dividend $,0.94
Annual Dividend %,0.0658
Ask,16.0
Ask Size,700.0
B/A Ratio,0.42857142857142855
B/A Size,300x700
Beta,0.9
Bid,13.5
Bid Size,300.0
Closing Price,14.26
Day Change $,-0.03
Day Change %,-0.0021
Day High,14.48
Day Low,14.16
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",2.11
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.344
Last (size),86.0
Last (time),7:00p ET 11/28/22
Market Cap,5.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.76
Prev Close,14.29
Shares Outstanding,386.2M
Short Interest,0.0971
Today's Open,14.18
Volume,3553141.0
Volume 10-day Avg,4492259.0
Volume Past Day,(Light)
