,WU
Price/Earnings (TTM),6.76334
Price/Sales (TTM),1.18207
Price/Book (MRQ),10.43822
Price/Cash Flow (TTM),5.43469
5yr Low,12.27
5yr High,28.45
5yr Avg Return,-0.02178333333333333
EPS Growth 5yr,0.30884
Revenue Growth 5yr,-0.0133367
Dividend Growth 5yr,0.079915
Short Int Current Month,37187721.0
Short Int Prev Month,31073131.0
Short Int Pct of Float,0.09706870000000001
Days to Cover,6.03814
Float,383.3667
Shares Outstanding,386.1708
Institutions Holding Shares,753.0
% Held by Institutions,1.008098
FCF Growth 5yr,0.11147828155042445
