,ISEE
% Below High,0.1139
% Held by Institutions,1.0507
52-Wk Range,['8.85 - 24.33']
Annual Dividend $,
Annual Dividend %,
Ask,21.7
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.0
Bid,21.01
Bid Size,1000.0
Closing Price,21.56
Day Change $,-0.18
Day Change %,-0.0083
Day High,21.94
Day Low,21.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.34
Ex-dividend Date,No dividend
Historical Volatility,0.895
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.74
Shares Outstanding,120.7M
Short Interest,0.06860000000000001
Today's Open,21.73
Volume,513938.0
Volume 10-day Avg,3486016.0
Volume Past Day,(Light)
