,ISEE
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),10.01652
Price/Cash Flow (TTM),
5yr Low,0.9059
5yr High,24.33
5yr Avg Return,1.1860833333333334
Short Int Current Month,8172526.0
Short Int Prev Month,8996407.0
Short Int Pct of Float,0.06863380000000001
Days to Cover,2.31842
Float,119.1294
Shares Outstanding,120.7228
Institutions Holding Shares,279.0
% Held by Institutions,1.0506900000000001
FCF Growth 5yr,0.29957914209427045
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
