,U
Price/Earnings (TTM),
Price/Sales (TTM),8.54649
Price/Book (MRQ),4.87041
Price/Cash Flow (TTM),
5yr Low,21.22
5yr High,210.0
5yr Avg Return,0.07183333333333333
Short Int Current Month,20462308.0
Short Int Prev Month,29398902.0
Short Int Pct of Float,0.0925036
Days to Cover,1.21016
Float,282.1489
Shares Outstanding,300.7469
Institutions Holding Shares,678.0
% Held by Institutions,0.8283079999999999
FCF Growth 5yr,-1.6978843216873312
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
