,U
% Above Low,0.6734
% Held by Institutions,0.8283
52-Wk Range,['21.22 - 186.60']
Annual Dividend $,
Annual Dividend %,
Ask,35.61
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,
Bid,35.51
Bid Size,1000.0
Closing Price,35.51
Day Change $,-0.18
Day Change %,-0.005
Day High,36.34
Day Low,34.1
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.69
Ex-dividend Date,No dividend
Historical Volatility,1.07
Last (size),64.0
Last (time),7:00p ET 11/28/22
Market Cap,14.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,35.69
Shares Outstanding,413.2M
Short Interest,0.0925
Today's Open,34.43
Volume,14145066.0
Volume 10-day Avg,17734209.0
Volume Past Day,(Light)
