,NARI
% Above Low,0.4851
% Held by Institutions,0.9173
52-Wk Range,['50.50 - 100.00']
Annual Dividend $,
Annual Dividend %,
Ask,85.0
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,
Bid,70.0
Bid Size,100.0
Closing Price,75.0
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.42
Ex-dividend Date,No dividend
Historical Volatility,0.643
Last (size),23.0
Last (time),1:00p ET 11/25/22
Market Cap,4.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,75.0
Shares Outstanding,53.7M
Short Interest,0.0909
Today's Open,
Volume,181555.0
Volume 10-day Avg,576982.0
Volume Past Day,(Light)
