,NARI
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-5.642857142857142
Growth 1yr High Est,-3.5217391304347823
Growth 1yr Consensus Est,-4.582298136645962
Growth 2yr Low Est,-3.0445054945054943
Growth 2yr High Est,-2.157421289355322
Growth 2yr Consensus Est,-2.6009633919304083
Growth 5yr Low Est,-3.0445054945054943
Growth 5yr High Est,-2.157421289355322
Growth 5yr Consensus Est,-2.6009633919304083
Growth 5yr Actual/Est,-1.7807646356033453
Growth 3yr Historic,-0.11111111111111112
