,NARI
Price/Earnings (TTM),
Price/Sales (TTM),11.21137
Price/Book (MRQ),9.68358
Price/Cash Flow (TTM),
5yr Low,39.55
5yr High,127.42
5yr Avg Return,0.32276666666666665
Short Int Current Month,4167835.0
Short Int Prev Month,5158649.0
Short Int Pct of Float,0.090869
Days to Cover,5.72661
Float,45.92959
Shares Outstanding,53.65285
Institutions Holding Shares,327.0
% Held by Institutions,0.917337
FCF Growth 5yr,-0.20853890312834666
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
