,NCLH
% Above Low,0.5936
% Held by Institutions,0.5517
52-Wk Range,['10.31 - 23.90']
Annual Dividend $,
Annual Dividend %,
Ask,16.37
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,2.5
Bid,16.25
Bid Size,100.0
Change Since Close,-0.14| |(-0.85%)
Closing Price,16.43
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.28
Ex-dividend Date,No dividend
Historical Volatility,0.7809999999999999
Last (size),55.0
Last (time),5:00p ET 11/25/22
Last Trade,16.29
Market Cap,6.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,16.43
Shares Outstanding,421.4M
Short Interest,0.1041
Today's Open,
Volume,4263.0
Volume 10-day Avg,15174501.0
Volume Past Day,(Light)
