,NCLH
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.48723640399556045
Growth 1yr High Est,-0.4734177215189873
Growth 1yr Consensus Est,-0.4803270627572739
Growth 2yr Low Est,-0.806388764768343
Growth 2yr High Est,-0.914593476144109
Growth 2yr Consensus Est,-0.860491120456226
Growth 5yr Low Est,-1.1001189855587747
Growth 5yr High Est,-1.0907918837031225
Growth 5yr Consensus Est,-1.0954554346309486
Growth 5yr Actual/Est,-1.1152450172147776
Growth 3yr Historic,-0.6908545486793277
