,NCLH
Price/Earnings (TTM),
Price/Sales (TTM),1.81622
Price/Book (MRQ),17.31813
Price/Cash Flow (TTM),
5yr Low,7.03
5yr High,61.18
5yr Avg Return,-0.1372
EPS Growth 5yr,
Revenue Growth 5yr,-0.33207149999999996
Dividend Growth 5yr,
Short Int Current Month,43617122.0
Short Int Prev Month,40896299.0
Short Int Pct of Float,0.10408200000000001
Days to Cover,1.92023
Float,419.66
Shares Outstanding,421.3961
Institutions Holding Shares,635.0
% Held by Institutions,0.551655
FCF Growth 5yr,0.5941909377236049
