,TTC
Price/Earnings (TTM),30.59227
Price/Sales (TTM),2.69773
Price/Book (MRQ),9.02238
Price/Cash Flow (TTM),23.61939
5yr Low,52.07
5yr High,118.13
5yr Avg Return,0.10885
EPS Growth 5yr,0.1287046
Revenue Growth 5yr,0.1060412
Dividend Growth 5yr,0.11842689999999999
Short Int Current Month,1965563.0
Short Int Prev Month,2303367.0
Short Int Pct of Float,0.0189275
Days to Cover,3.93733
Float,103.8658
Shares Outstanding,104.2026
Institutions Holding Shares,564.0
% Held by Institutions,0.861721
FCF Growth 5yr,2.3255069323326816
