,TTC
% Below High,0.0353
% Held by Institutions,0.8617
52-Wk Range,['71.86 - 113.37']
Annual Dividend $,1.2
Annual Dividend %,0.0108
Ask,115.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,109.09
Bid Size,100.0
Change Since Close,-0.28| |(-0.26%)
Closing Price,109.37
Day Change $,-2.04
Day Change %,-0.0183
Day High,111.26
Day Low,108.84
Dividend Pay Date,2022-10-18 00:00:00
"EPS (TTM, GAAP)",3.64
Ex-dividend,2022-10-04 00:00:00
Ex-dividend Date,10/04/22
Historical Volatility,0.298
Last (size),48.0
Last (time),7:00p ET 11/28/22
Last Trade,109.09
Market Cap,11.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.59
Prev Close,111.41
Shares Outstanding,104.2M
Short Interest,0.0189
Today's Open,110.65
Volume,337753.0
Volume 10-day Avg,454344.0
Volume Past Day,(Light)
