,STEL
% Below High,0.0738
% Held by Institutions,0.2377
52-Wk Range,['26.11 - 36.09']
Annual Dividend $,0.52
Annual Dividend %,0.0155
Ask,33.45
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.9
Bid,33.4
Bid Size,200.0
Day Change $,-0.225
Day Change %,-0.0067
Day High,33.97
Day Low,33.38
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.41
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.28
Last (size),8.0
Last (time),3:24p ET 11/28/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",23.94
Prev Close,33.65
Price,33.43
Shares Outstanding,52.3M
Short Interest,0.0208
Today's Open,33.67
Volume Past Day,(Light)
