,STEL
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.50561797752809
Growth 1yr High Est,0.4725274725274726
Growth 1yr Consensus Est,0.4890727250277813
Growth 2yr Low Est,0.3125104813013584
Growth 2yr High Est,0.4657413482040348
Growth 2yr Consensus Est,0.3891259147526966
Growth 5yr Low Est,0.13214356552377565
Growth 5yr High Est,0.20590988978829192
Growth 5yr Consensus Est,0.16902672765603377
Growth 5yr Actual/Est,0.2358150960506487
Growth 3yr Historic,0.06279189239678684
