,FCFS
% Below High,0.0668
% Held by Institutions,0.8087000000000001
52-Wk Range,['58.30 - 100.00']
Annual Dividend $,1.32
Annual Dividend %,0.0141
Ask,93.72
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,93.01
Bid Size,100.0
Closing Price,93.32
Day Change $,-0.74
Day Change %,-0.0079
Day High,94.29
Day Low,93.24
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",4.36
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.391
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.41
Prev Close,94.06
Shares Outstanding,46.3M
Short Interest,0.021
Today's Open,94.29
Volume,72658.0
Volume 10-day Avg,280149.0
Volume Past Day,(Light)
