,ADPT
% Above Low,0.3636
% Held by Institutions,0.8797
52-Wk Range,['5.96 - 30.51']
Annual Dividend $,
Annual Dividend %,
Ask,8.33
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,8.0
Bid Size,200.0
Closing Price,8.12
Day Change $,-0.18
Day Change %,-0.0217
Day High,8.23
Day Low,8.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.56
Ex-dividend Date,No dividend
Historical Volatility,0.915
Last (size),3.0
Last (time),1:15p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.3
Shares Outstanding,143.0M
Short Interest,0.036699999999999997
Today's Open,8.21
Volume,371699.0
Volume 10-day Avg,984526.0
Volume Past Day,(Light)
