,ADPT
Price/Earnings (TTM),
Price/Sales (TTM),6.91061
Price/Book (MRQ),2.37999
Price/Cash Flow (TTM),
5yr Low,5.96
5yr High,71.25
5yr Avg Return,-0.12495
Short Int Current Month,5147738.0
Short Int Prev Month,5975245.0
Short Int Pct of Float,0.0366579
Days to Cover,3.91724
Float,140.6575
Shares Outstanding,143.0122
Institutions Holding Shares,302.0
% Held by Institutions,0.87971
FCF Growth 5yr,0.1465993169534172
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
