,PEGA
Price/Earnings (TTM),
Price/Sales (TTM),2.48587
Price/Book (MRQ),47.34223
Price/Cash Flow (TTM),
5yr Low,29.05
5yr High,148.8
5yr Avg Return,0.07635
EPS Growth 5yr,
Revenue Growth 5yr,0.0971312
Dividend Growth 5yr,-0.0436475
Short Int Current Month,2014910.0
Short Int Prev Month,1910242.0
Short Int Pct of Float,0.0518208
Days to Cover,3.59853
Float,38.88951
Shares Outstanding,82.19096
Institutions Holding Shares,257.0
% Held by Institutions,0.48454200000000003
FCF Growth 5yr,-0.865420338176031
