,PEGA
% Above Low,0.2585
% Held by Institutions,0.48450000000000004
52-Wk Range,['29.05 - 118.58']
Annual Dividend $,0.12
Annual Dividend %,0.0032
Ask,36.68
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,36.55
Bid Size,100.0
Day Change $,-0.87
Day Change %,-0.0232
Day High,37.39
Day Low,36.9
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",-5.1
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.63
Last (size),3.0
Last (time),10:28a ET 11/28/22
Market Cap,3.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,37.43
Price,36.56
Shares Outstanding,82.2M
Short Interest,0.0518
Today's Open,36.9
Volume Past Day,(Light)
