,TGNA
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.3414634146341464
Growth 1yr High Est,0.4545454545454546
Growth 1yr Consensus Est,0.3980044345898005
Growth 2yr Low Est,0.043458980044345896
Growth 2yr High Est,0.10227272727272724
Growth 2yr Consensus Est,0.07286585365853657
Growth 5yr Low Est,0.17513051633508916
Growth 5yr High Est,0.21009214215735958
Growth 5yr Consensus Est,0.19261132924622437
Growth 5yr Actual/Est,0.1781313373663977
Growth 3yr Historic,0.15036231884057974
