,TGNA
% Above Low,0.08470000000000001
% Held by Institutions,0.8825
52-Wk Range,['17.94 - 23.04']
Annual Dividend $,0.38
Annual Dividend %,0.019299999999999998
Ask,21.95
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.7
Bid,19.4
Bid Size,300.0
Change Since Close,-0.06| |(-0.31%)
Closing Price,19.46
Day Change $,-0.19
Day Change %,-0.0097
Day High,19.63
Day Low,19.41
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",2.41
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.226
Last (size),1.0
Last (time),4:10p ET 11/28/22
Last Trade,19.4
Market Cap,4.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.14
Prev Close,19.65
Shares Outstanding,223.3M
Short Interest,0.024700000000000003
Today's Open,19.54
Volume,1306834.0
Volume 10-day Avg,1997014.0
Volume Past Day,(Light)
