,TGNA
Price/Earnings (TTM),8.13803
Price/Sales (TTM),1.3988
Price/Book (MRQ),1.52398
Price/Cash Flow (TTM),6.59583
5yr Low,9.61
5yr High,23.04
5yr Avg Return,0.09783333333333333
EPS Growth 5yr,0.0878829
Revenue Growth 5yr,0.0833845
Dividend Growth 5yr,-0.1003674
Short Int Current Month,5467043.0
Short Int Prev Month,7228829.0
Short Int Pct of Float,0.024697200000000002
Days to Cover,2.50445
Float,221.5819
Shares Outstanding,223.2933
Institutions Holding Shares,448.0
% Held by Institutions,0.882504
FCF Growth 5yr,0.3016566715143807
