,ALGN
% Above Low,0.1315
% Held by Institutions,0.866
52-Wk Range,['172.05 - 688.60']
Annual Dividend $,
Annual Dividend %,
Ask,195.1
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.7
Bid,194.67
Bid Size,200.0
Closing Price,194.67
Day Change $,-1.61
Day Change %,-0.008199999999999999
Day High,196.28
Day Low,190.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.46
Ex-dividend Date,No dividend
Historical Volatility,0.611
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,15.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.14
Prev Close,196.28
Shares Outstanding,78.1M
Short Interest,0.0345
Today's Open,194.82
Volume,387805.0
Volume 10-day Avg,961994.0
Volume Past Day,(Light)
