,ALGN
Price/Earnings (TTM),30.14069
Price/Sales (TTM),3.93511
Price/Book (MRQ),4.11568
Price/Cash Flow (TTM),24.04348
5yr Low,127.88
5yr High,737.45
5yr Avg Return,0.08881666666666665
EPS Growth 5yr,0.33007489999999995
Revenue Growth 5yr,0.2962883
Dividend Growth 5yr,
Short Int Current Month,2524263.0
Short Int Prev Month,2766024.0
Short Int Pct of Float,0.0345071
Days to Cover,1.91701
Float,73.16514
Shares Outstanding,78.11235
Institutions Holding Shares,1112.0
% Held by Institutions,0.866032
FCF Growth 5yr,-13.328704966215192
