,TREX
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.16746411483253587
Growth 1yr High Est,-0.16822429906542058
Growth 1yr Consensus Est,-0.16784420694897823
Growth 2yr Low Est,-0.20154814937029092
Growth 2yr High Est,0.022629423500997614
Growth 2yr Consensus Est,-0.08945936293464665
Growth 5yr Low Est,-0.09787840164799816
Growth 5yr High Est,0.00984133502728865
Growth 5yr Consensus Est,-0.044018533310354754
Growth 5yr Actual/Est,0.08782447907174534
Growth 3yr Historic,0.15838709677419355
