,TREX
% Above Low,0.1101
% Held by Institutions,0.9659
52-Wk Range,['38.68 - 140.98']
Annual Dividend $,
Annual Dividend %,
Ask,43.48
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.4
Bid,42.63
Bid Size,100.0
Change Since Close,-0.14| |(-0.33%)
Closing Price,42.94
Day Change $,-3.32
Day Change %,-0.0718
Day High,45.76
Day Low,42.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.75
Ex-dividend Date,No dividend
Historical Volatility,0.5970000000000001
Last (size),20.0
Last (time),7:00p ET 11/28/22
Last Trade,42.8
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.4
Prev Close,46.26
Shares Outstanding,109.7M
Short Interest,0.07139999999999999
Today's Open,45.45
Volume,1143549.0
Volume 10-day Avg,1245055.0
Volume Past Day,(Average)
