,TREX
Price/Earnings (TTM),26.40275
Price/Sales (TTM),4.1682
Price/Book (MRQ),9.13285
Price/Cash Flow (TTM),20.87436
5yr Low,25.36
5yr High,140.98
5yr Avg Return,0.22204999999999997
EPS Growth 5yr,0.2577861
Revenue Growth 5yr,0.2007058
Dividend Growth 5yr,
Short Int Current Month,7790322.0
Short Int Prev Month,8877117.0
Short Int Pct of Float,0.0713612
Days to Cover,3.84239
Float,109.1815
Shares Outstanding,109.7384
Institutions Holding Shares,589.0
% Held by Institutions,0.965912
FCF Growth 5yr,0.33952629143649604
