,DTM
% Below High,0.021400000000000002
% Held by Institutions,0.8301000000000001
52-Wk Range,['44.70 - 61.12']
Annual Dividend $,2.56
Annual Dividend %,0.042800000000000005
Ask,64.23
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,53.95
Bid Size,100.0
Closing Price,59.81
Day Change $,0.49
Day Change %,0.0083
Day High,60.57
Day Low,59.43
Dividend Pay Date,2022-10-15 00:00:00
"EPS (TTM, GAAP)",3.84
Ex-dividend,2022-09-16 00:00:00
Ex-dividend Date,09/16/22
Historical Volatility,0.313
Last (size),1200.0
Last (time),5:00p ET 11/25/22
Market Cap,5.8B
"P/E Ratio (TTM, GAAP)",15.6
Prev Close,59.32
Shares Outstanding,96.8M
Short Interest,0.0242
Today's Open,59.43
Volume,276218.0
Volume 10-day Avg,630031.0
Volume Past Day,(Light)
