,HSII
Price/Earnings (TTM),7.86394
Price/Sales (TTM),0.51331
Price/Book (MRQ),1.51125
Price/Cash Flow (TTM),6.69928
5yr Low,17.99
5yr High,50.03
5yr Avg Return,0.0577
EPS Growth 5yr,0.3459183
Revenue Growth 5yr,0.1091024
Dividend Growth 5yr,0.0290337
Short Int Current Month,343702.0
Short Int Prev Month,385829.0
Short Int Pct of Float,0.0176325
Days to Cover,3.6349
Float,19.53945
Shares Outstanding,19.86063
Institutions Holding Shares,244.0
% Held by Institutions,0.910043
FCF Growth 5yr,-1.0105725821524298
