,HSII
% Above Low,0.2839
% Held by Institutions,0.91
52-Wk Range,['22.79 - 46.85']
Annual Dividend $,0.6
Annual Dividend %,0.020499999999999997
Ask,46.8
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,26.0
Bid Size,100.0
Closing Price,29.26
Day Change $,0.26
Day Change %,0.009000000000000001
Day High,29.3
Day Low,28.8
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",3.72
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.40299999999999997
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,581.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.86
Prev Close,29.0
Shares Outstanding,19.9M
Short Interest,0.0176
Today's Open,28.8
Volume,76781.0
Volume 10-day Avg,84179.0
Volume Past Day,(Average)
