,AGTI
Price/Earnings (TTM),56.52485
Price/Sales (TTM),1.76983
Price/Book (MRQ),2.13594
Price/Cash Flow (TTM),8.92612
5yr Low,13.56
5yr High,26.36
5yr Avg Return,0.04559999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.1671839
Dividend Growth 5yr,
Short Int Current Month,2752180.0
Short Int Prev Month,3129209.0
Short Int Pct of Float,0.0792095
Days to Cover,10.35218
Float,132.941
Shares Outstanding,133.3378
Institutions Holding Shares,132.0
% Held by Institutions,1.015409
FCF Growth 5yr,0.07037037037037042
