,AGTI
% Above Low,0.06
% Held by Institutions,1.0154
52-Wk Range,['14.15 - 23.65']
Annual Dividend $,
Annual Dividend %,
Ask,18.25
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,5.99
Bid Size,200.0
Closing Price,15.0
Day Change $,0.13
Day Change %,0.0087
Day High,15.08
Day Low,14.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.27
Ex-dividend Date,No dividend
Historical Volatility,0.507
Last (size),599.0
Last (time),5:00p ET 11/25/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",56.52
Prev Close,14.87
Shares Outstanding,133.3M
Short Interest,0.07919999999999999
Today's Open,14.89
Volume,37784.0
Volume 10-day Avg,279569.0
Volume Past Day,(Light)
