,OCFC
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.2681564245810055
Growth 1yr High Est,0.2540540540540539
Growth 1yr Consensus Est,0.2611052393175297
Growth 2yr Low Est,0.1671178598675953
Growth 2yr High Est,0.24125116495806154
Growth 2yr Consensus Est,0.20418451241282842
Growth 5yr Low Est,0.11011149103188939
Growth 5yr High Est,0.14237643979803052
Growth 5yr Consensus Est,0.12624396541495997
Growth 5yr Actual/Est,0.12515773297320912
Growth 3yr Historic,0.032427536231884074
